"estimate","se","zval","pval","ci.lb","ci.ub","Q","Qp","tau2","I2","H2"
-0.0386721505822059,0.0310894798193611,-1.24389828349983,0.213537001199126,-0.0996064113262385,0.0222621101618268,177.170205177693,1.31024935679503e-23,0.0200271947309939,87.3849167618654,7.92701864207334
-0.0403681292546052,0.0318671195750186,-1.2667642947639,0.205239582609828,-0.102826535912673,0.0220902774034626,176.29153591802,1.90741869047663e-23,0.0206076682060637,87.3833037280739,7.92600517954245
-0.0397399447256743,0.031498580569354,-1.26164239808122,0.207077492629146,-0.101476028205741,0.0219961387543926,176.951724673609,1.43853143189887e-23,0.0203363630469335,87.4930397356445,7.99554790983041
-0.0382735069867865,0.0314947149818303,-1.21523585810721,0.224276147742828,-0.100002014054528,0.0234550000809549,177.233414769658,1.27531138178929e-23,0.0203679138957472,87.5196100966402,8.01257018204854
-0.0402474218785015,0.0319666866912114,-1.25904264859475,0.20801492774249,-0.102900976498352,0.0224061327413487,175.902688247876,2.25204778899202e-23,0.0206964721816699,87.165602561559,7.79156173709287
-0.0350822777066701,0.0310370825966913,-1.13033425733158,0.258335404698254,-0.09591384178138,0.0257492863680398,176.542195729212,1.71369789354242e-23,0.0198738255762196,87.2928593551453,7.86959102719081
-0.0541161003890559,0.0260141829376822,-2.08025370309315,0.0375022688151042,-0.105102962034149,-0.00312923874396243,131.328455355943,2.55419548845808e-15,0.011948625960681,80.1835290726913,5.04630720408405
-0.0316315241536866,0.0306619609284788,-1.03162104431186,0.302249678012908,-0.0917278632688793,0.0284648149615061,174.009553294106,5.05091786308697e-23,0.0191676528227056,86.8735888669449,7.61822854597159
-0.0336722259300707,0.0315851873329776,-1.06607649893259,0.286389062211408,-0.0955780555476576,0.0282336036875162,174.817266195151,3.57916707879514e-23,0.0201736947278072,87.2116782210042,7.81963432952127
-0.0365689534048795,0.0313517392050422,-1.16640908390174,0.24344908754517,-0.0980172330994547,0.0248793262896957,177.104518060963,1.3475689592888e-23,0.0202184634919759,87.4571801492616,7.97268885226896
-0.0394238379373061,0.031925645103849,-1.23486425439695,0.216881028850269,-0.101996952524058,0.0231492766494455,176.89062100207,1.47660050407963e-23,0.0207007296929696,87.4215132100665,7.95008188743572
-0.034907922089666,0.0319591527071236,-1.092266819761,0.274715839931747,-0.097546710372044,0.027730866192712,168.008399642163,6.47151713354145e-22,0.0205970813462318,85.4443089107989,6.87016503628536
-0.037335872070639,0.0321029037673243,-1.16300607388174,0.244827038095996,-0.10025640725375,0.0255846631124718,176.944312858372,1.44309647202051e-23,0.0208531969847605,86.1851112904104,7.23856717937838
-0.0332489795080949,0.0317172048310569,-1.04829475627493,0.294502824833638,-0.0954135586672462,0.0289155996510564,167.483291844338,8.0835047505588e-22,0.0202229875445345,86.3524217495373,7.32730731890911
-0.0390143781057116,0.0321091336984954,-1.21505545655814,0.22434494090536,-0.101947123729544,0.0239183675181207,176.474306185083,1.76413883814963e-23,0.020861585939773,86.106157897998,7.19743316973426
-0.0378342607387047,0.0319697107776969,-1.18344082002453,0.236634487618375,-0.100493742459153,0.0248252209817433,177.241995811084,1.27064058654118e-23,0.0207548885439736,87.4021855913131,7.93788483905943
-0.0416389708328003,0.0318736536314488,-1.30637583360435,0.191424779912244,-0.104110184006144,0.0208322423405437,172.613339219382,9.15523533749096e-23,0.020510831805916,86.8525183972247,7.60601938997132
-0.0347899207737493,0.0314366793389495,-1.10666652793208,0.268438132165261,-0.0964046800716247,0.026824838524126,176.412086416317,1.81166705196509e-23,0.0201721851580017,87.385125679258,7.92714992297424
-0.0385794357081337,0.0317564785829945,-1.21485244679468,0.224422373372875,-0.100820990006621,0.0236621185903531,177.202726014155,1.29215638622983e-23,0.0205810853419135,87.5474697114637,8.03049642786733
-0.0377531973099646,0.0316824475329711,-1.19161239896873,0.233413261027116,-0.0998496534166678,0.0243432587967385,177.242687784378,1.27026467919611e-23,0.0205201538958382,87.5484121711684,8.03110425551115
-0.0344007632693405,0.0316644145684701,-1.08641715749879,0.277294474072709,-0.0964618754150874,0.0276603488764063,175.615672329384,2.54566993131527e-23,0.0203163052918769,87.3046903135014,7.87692482258621
-0.0330689361739272,0.0311599461554677,-1.06126422712462,0.288569838121443,-0.0941413083988513,0.0280034360509968,175.338513196081,2.86539709745504e-23,0.0197649821751422,87.1744700882388,7.79694879572175
-0.0287715911366611,0.0307383813478432,-0.93601516654617,0.349265378957367,-0.0890177115214915,0.0314745292481693,157.415533280665,5.60711769548548e-20,0.0186638335546834,85.9205001628953,7.10252502979281
-0.0510871486743821,0.028724265828155,-1.77853627243303,0.0753158200877152,-0.10738567517992,0.00521137783115623,116.059258108475,1.09330129934955e-12,0.0155385162005453,83.3937849527202,6.02184180532943
-0.041096473095666,0.0313730391809138,-1.30992961372603,0.190219647908769,-0.102586499975821,0.020393553784489,176.343653021961,1.86541830891375e-23,0.0201459084411795,87.3944675074807,7.93302465083047
-0.0448150025519179,0.0309318468295976,-1.44883048202075,0.147384928938302,-0.105440308313239,0.0158103032094029,172.158717637568,1.11095683040863e-22,0.019261665337333,86.8307889389294,7.59346930778637
-0.0311556082536356,0.0306763794603443,-1.0156220780197,0.30980938718585,-0.0912802071719948,0.0289689906647235,173.643875550632,5.90275777755988e-23,0.0191003115971009,86.817359513415,7.5857336852782
-0.0394490445422513,0.030907215409156,-1.27637006504846,0.201824732973421,-0.100026073606618,0.0211279845221158,176.840208240704,1.50876447696312e-23,0.0198530061330138,87.2993695318168,7.87362487638023
