"estimate","se","zval","pval","ci.lb","ci.ub","Q","Qp","tau2","I2","H2"
-0.0782452526297717,0.0868299426858969,-0.901132146462656,0.367518062719662,-0.248428813073807,0.0919383078142633,2.13627522212658,0.999954180300292,0,0,1
-0.076080431046727,0.0866570730378255,-0.877948312580535,0.379971769142272,-0.245925173206522,0.0937643111130679,2.29253906269433,0.999927305052317,0,0,1
-0.0761425083949554,0.0869956509258795,-0.875244998854356,0.38144061366819,-0.246650851021298,0.0943658342313871,2.2924735197242,0.999927318569165,0,0,1
-0.0820006416207363,0.0872928659489905,-0.939373919383667,0.347538798585955,-0.25309151498804,0.089090231746568,1.97563022807345,0.999972661637444,0,0,1
-0.081001629519864,0.0876149116406554,-0.924518760597337,0.355216288395737,-0.252723700844208,0.0907204418044798,2.14745428519586,0.999952582188276,0,0,1
-0.0681666333988389,0.0964228254333697,-0.706955361372848,0.479594218454525,-0.257151898535836,0.120818631738158,2.25751040374145,0.999934240198998,0,0,1
-0.064590446895891,0.0918908371292185,-0.7029041078934,0.482115510968158,-0.244693178178395,0.115512284386613,2.15126255695655,0.999952027368816,0,0,1
-0.110569109167741,0.106692100789934,-1.03633828886208,0.30004434927918,-0.319681784150929,0.0985435658154472,1.98548077119669,0.999971744030857,0,0,1
-0.0730241076342005,0.0887071531488066,-0.823204274312606,0.410391838618931,-0.24688693297694,0.100838717708539,2.26655621299722,0.999932503816955,0,0,1
-0.0814175567231346,0.0891004073898639,-0.913773114042985,0.360836076585851,-0.256051146215114,0.0932160327688452,2.22620781905997,0.999939967395612,0,0,1
-0.0749612461617584,0.087848616103651,-0.853300250891977,0.393492820985905,-0.2471413698166,0.0972188774930829,2.28651507135823,0.999928538760471,0,0,1
-0.0757105601968713,0.0867098447574209,-0.873148376734832,0.382582208448444,-0.245658733026475,0.0942376126327328,2.27758591110407,0.999930335694546,0,0,1
-0.0494119863486845,0.0910256262197209,-0.54283599466168,0.587242727858668,-0.227818935409542,0.128994962712173,1.37629197643875,0.999997640205126,0,0,1
-0.0808025500795993,0.0881849648297908,-0.916284881845328,0.359517495293614,-0.253641905123921,0.092036804964722,2.20906810369387,0.999942924764216,0,0,1
-0.074677675814066,0.0869641772415562,-0.858717671836731,0.390496298301064,-0.245124331152674,0.095768979524542,2.25563491716147,0.999934595558986,0,0,1
-0.0809509500359497,0.087270613172873,-0.927585439048024,0.353622653693288,-0.251998208763508,0.0900963086916082,2.07023940971976,0.999962739226261,0,0,1
-0.0724860926947313,0.0880633617333416,-0.823112941273141,0.41044377015311,-0.245087110049604,0.100114924660141,2.23995916625961,0.999937504322958,0,0,1
