"estimate","se","zval","pval","ci.lb","ci.ub","Q","Qp","tau2","I2","H2"
-0.0151171607724227,0.031333583682837,-0.482458723057047,0.629480114003569,-0.0765298562973551,0.0462955347525098,73.6689538860851,3.31070584409027e-06,0.0153271716607375,75.23177397863,4.03743085652239
-0.0182752267797596,0.0321164692927505,-0.569029758943174,0.569335944654172,-0.0812223499041371,0.0446718963446178,74.7136968955075,2.32654342300731e-06,0.016369534104584,76.266515524631,4.21345631332735
-0.0182164114030543,0.0313440520523075,-0.581176019381746,0.561121828089953,-0.0796496245551257,0.0432168017490171,74.6954987931524,2.34092916927242e-06,0.0156334697795357,75.8372240854565,4.13859733474623
-0.0238685357459908,0.0319642455622455,-0.746726078659058,0.455228924558698,-0.0865173058409862,0.0387802343490046,72.0374154000392,5.7170950897182e-06,0.0159825573576631,75.3217477083542,4.05215080947415
-0.0141999103332928,0.0300619603657294,-0.472354768635804,0.636673583763645,-0.073120269954793,0.0447204492882074,72.5477046245524,4.82212085171006e-06,0.0140082385108404,73.8613548858382,3.82575300147521
-0.0185128003775885,0.0325557195564838,-0.568649706711872,0.569593884916444,-0.0823208381990831,0.0452952374439061,74.7276541202134,2.31556899000622e-06,0.0167970144446391,75.6806579289941,4.11195334594279
-0.0227284023301425,0.0309835707642288,-0.733563039040772,0.463215094370496,-0.0834550851404792,0.0379982804801941,73.9333948437755,3.02854616798421e-06,0.0151780276260852,75.324599564568,4.05261913627986
-0.0192099374739728,0.0311359493402322,-0.616969704827685,0.537254708321053,-0.0802352768052916,0.041815401857346,74.7673586425665,2.28462698494174e-06,0.0154653721321389,75.7000089943663,4.11522786065295
-0.0182580499367829,0.030497314549029,-0.598677300174425,0.549388097376581,-0.0780316880780692,0.0415155882045034,74.5583958331574,2.45215488808422e-06,0.0148277790510708,75.0065930706508,4.00105516957643
-0.0114569294857328,0.0293118076115536,-0.390863969822758,0.69589778750456,-0.0689070167261448,0.0459931577546793,70.6416654636075,9.08095821919897e-06,0.0127658154881313,71.9042210121316,3.55925351075617
-0.0218927330050875,0.0318888011598399,-0.686533585736009,0.49237669278831,-0.0843936347885329,0.0406081687783579,74.2193374215197,2.74998765260452e-06,0.0161160152070631,76.1232662157432,4.18817753314046
-0.0242987062790769,0.0315985470556307,-0.768981758442814,0.44190413963901,-0.0862307204719071,0.0376333079137534,72.4273026811683,5.02002285524762e-06,0.0155713238288206,75.2809453998987,4.04546215936552
-0.0194202746380005,0.0325420701779162,-0.596774407154328,0.550658007110893,-0.0832015601690912,0.0443610108930903,74.7484133679665,2.29934017592399e-06,0.0168103467262433,75.9875804462036,4.16451160933467
-0.019070756542401,0.0327572842673479,-0.582183687351962,0.560442959962277,-0.0832738539377435,0.0451323408529415,74.7657524698657,2.28587076748764e-06,0.0170069126177885,73.8111582185084,3.8184201055685
-0.0107336087872785,0.0300713176095335,-0.35693842639857,0.721137901835886,-0.0696723082696292,0.0482050906950722,66.7628134627851,3.20815085786355e-05,0.0132398438402442,71.3466354996606,3.48999155051462
-0.0227732507818948,0.0321073582603324,-0.70928447607695,0.478147959971456,-0.085702516610871,0.0401560150470813,73.3932903985157,3.63229154505225e-06,0.0162503362507219,75.857420554196,4.14205947730163
-0.0228753665923346,0.0321282448210128,-0.712001751722627,0.476463691286174,-0.0858455693280052,0.0400948361433361,73.2227638587212,3.84636730635024e-06,0.0162598433855336,75.786412468011,4.1299125901062
-0.0341490645043939,0.0222358728761143,-1.53576451415482,0.124596145880259,-0.0777305745063888,0.00943244549760115,57.0689830162159,0.000630335142303797,0.00498979339136091,49.7709988251212,1.99088171496457
-0.0122026758610678,0.0292673800438917,-0.416937759470361,0.67672393371119,-0.0695656866689419,0.0451603349468063,70.4702515668878,9.60903963431163e-06,0.0129004420503197,72.228298103356,3.60078760646945
-0.0163724147484446,0.032330012794055,-0.506415350118736,0.612565100877727,-0.0797380754445115,0.0469932459476224,73.4460226433211,3.56849143568707e-06,0.0164166871100558,74.7911937196784,3.96686772423896
-0.0182976616443655,0.0311892929667811,-0.586664842446215,0.557428824382697,-0.0794275525625249,0.0428322292737939,74.6981928589057,2.3387939925811e-06,0.0154897562074329,75.7069138947249,4.11639754482595
-0.0135623856467322,0.030495568897874,-0.444732993575263,0.656512722876538,-0.073332602374625,0.0462078310811606,72.7239624139417,4.5461365082049e-06,0.014295574437268,74.075031262974,3.85728526866766
-0.0119559993280047,0.0290770068653311,-0.411183977201587,0.680937636264471,-0.0689458855622775,0.0450338869062681,69.8301498899841,1.18601558071687e-05,0.0126748706571997,71.8854771080453,3.55688056255852
-0.0170509481818265,0.032551375908604,-0.523816511772076,0.600406167792504,-0.080850472609915,0.046748576246262,73.457355049358,3.55492472950127e-06,0.0166928897412757,73.5677868646602,3.78326247174136
-0.0230159657423151,0.030610658823735,-0.751893837857187,0.452114904162548,-0.0830117545798788,0.0369798230952487,73.6222591664095,3.36314172394097e-06,0.0147910112210218,74.9013387612779,3.98427625477173
-0.0291365604391516,0.0281615039796406,-1.03462373530249,0.300844664922192,-0.0843320939897285,0.0260589731114253,67.1684519312712,2.81629012425268e-05,0.0112542789426188,69.2567946199667,3.25275125881788
-0.0173965098443057,0.0303492386750542,-0.573210749388744,0.566502006972831,-0.076879924605622,0.0420869049170107,74.0480009111013,2.91372219744172e-06,0.0146404014138434,74.7735756807386,3.96409727888569
-0.0244016588007025,0.0301227316516027,-0.81007456703895,0.417897320541998,-0.0834411279538085,0.0346378103524035,72.2911082748873,5.25349026040481e-06,0.0141482395053406,74.0731411158327,3.85700406079915
